step,g_loss,lr,mel,recon,sem,stft,vq
50,1.4892218112945557,1.4999999999999999e-05,0.16481128334999084,0.1872396171092987,0.0,1.305429220199585,0.0002573636593297124
100,1.3667874336242676,2.9999999999999997e-05,0.15325868129730225,0.16620011627674103,0.0,1.196526050567627,0.0003826325701083988
150,1.3023241758346558,4.4999999999999996e-05,0.12956677377223969,0.19551700353622437,0.0,1.1519575119018555,0.0012482963502407074
200,1.3428934812545776,5.9999999999999995e-05,0.17032240331172943,0.16504491865634918,0.0,1.15510892868042,0.0009576131706126034
